winner,SEED_higher,SEED_lower,TEAM_higher,G_higher,W_higher,ADJOE_higher,ADJDE_higher,BARTHAG_higher,EFG_O_higher,EFG_D_higher,TOR_higher,TORD_higher,ORB_higher,DRB_higher,FTR_higher,FTRD_higher,2P_O_higher,2P_D_higher,3P_O_higher,3P_D_higher,ADJ_T_higher,WAB_higher,SEED_higher.1,Turnover_diff_higher,TEAM_lower,G_lower,W_lower,ADJOE_lower,ADJDE_lower,BARTHAG_lower,EFG_O_lower,EFG_D_lower,TOR_lower,TORD_lower,ORB_lower,DRB_lower,FTR_lower,FTRD_lower,2P_O_lower,2P_D_lower,3P_O_lower,3P_D_lower,ADJ_T_lower,WAB_lower,SEED_lower.1,Turnover_diff_lower
Lower,5,12,Clemson,33,27,118.4,95,0.9267,53.6,48.9,15.7,20.1,33.7,29.9,28.2,27.6,52.3,49.3,37.2,32.2,64.4,4.9,5,2.9,McNeese St.,33,27,113.5,100.8,0.7972,53.3,47.5,16.2,21.6,34.7,31.3,35.7,31.4,53.2,46.9,35.6,32.2,65.4,-0.8,12,3.7
Higher,4,13,Purdue,33,22,125.1,100.3,0.9275,56.3,52,15.6,17.8,31,29.9,34.6,31,55.5,56.4,38.5,30.7,65.2,4.3,4,1.5,High Point,34,39,117.8,108.2,0.7265,56.4,49.1,15.3,16.5,34,29.9,37.6,36.3,57.4,48.9,36.6,32.9,66.6,-1.8,13,1.3
Higher,6,11,Illinois,33,21,122.3,98.7,0.9219,52.3,47.3,15.8,12.7,36,26.3,34.6,26.8,57.3,46.1,31.1,33.3,71.4,3.4,6,-2.3,Xavier,32,21,116.3,97.8,0.8797,53.9,50.6,16,17.6,25.2,25.2,37.2,28.1,51.3,50.5,38.8,33.9,69,0.35,11,1.1
Higher,3,14,Kentucky,33,22,127.1,101,0.9336,56.2,50.7,15.2,20,33.7,32.2,46.8,35.3,56.7,51.1,37,33.4,68.2,3.1,3,-0.9,Troy,33,23,106.9,100.5,0.6704,50.1,47.2,19.9,19.8,38.6,32,37.8,29.3,53.9,46.2,30.3,32.6,66.2,-4.3,14,0.2
Higher,7,10,UCLA,32,22,117.9,95.4,0.9197,53,50.5,15.9,22.8,32.8,29.2,32.9,34.6,53.1,51.2,35.2,33.2,65.1,3.3,7,4.6,Utah St.,33,26,122.3,105.6,0.8451,56,51.8,16,20.2,34.6,30.3,37.6,36.2,57.7,52.6,35.8,33.8,67.7,2,10,3.2
Higher,2,15,Tennessee,34,27,119.4,91.2,0.9567,52.8,44.4,16,17.8,35.4,30.1,35.4,29.4,54.1,46.7,34,27.8,63.9,9.3,2,1.2,Wofford,34,19,111.4,109.8,0.5422,53.3,51.8,16.9,14.9,35.5,26.2,31.1,36.2,54.6,51.8,34.5,34.5,64,-9.7,15,-0.6
Higher,1,8,Houston,34,30,124.8,88.2,0.9819,52.7,44.9,14.6,21.7,36.1,29.3,28.2,34.1,49,43.9,39.8,30.9,61.5,11.5,1,4.5,Gonzaga,33,25,123.4,96.5,0.9443,55.7,47.5,13.2,18.2,32.7,26.4,30.9,28.6,57.8,49.1,34.4,30.2,70.3,2.7,8,3.6
Higher,4,12,Purdue,33,22,125.1,100.3,0.9275,56.3,52,15.6,17.8,31,29.9,34.6,31,55.5,56.4,38.5,30.7,65.2,4.3,4,1.5,McNeese St.,33,27,113.5,100.8,0.7972,53.3,47.5,16.2,21.6,34.7,31.3,35.7,31.4,53.2,46.9,35.6,32.2,65.4,-0.8,12,3.7
Higher,3,6,Kentucky,33,22,127.1,101,0.9336,56.2,50.7,15.2,20,33.7,32.2,46.8,35.3,56.7,51.1,37,33.4,68.2,3.1,3,-0.9,Illinois,33,21,122.3,98.7,0.9219,52.3,47.3,15.8,12.7,36,26.3,34.6,26.8,57.3,46.1,31.1,33.3,71.4,3.4,6,-2.3
Higher,2,7,Tennessee,34,27,119.4,91.2,0.9567,52.8,44.4,16,17.8,35.4,30.1,35.4,29.4,54.1,46.7,34,27.8,63.9,9.3,2,1.2,UCLA,32,22,117.9,95.4,0.9197,53,50.5,15.9,22.8,32.8,29.2,32.9,34.6,53.1,51.2,35.2,33.2,65.1,3.3,7,4.6
Higher,2,3,Tennessee,34,27,119.4,91.2,0.9567,52.8,44.4,16,17.8,35.4,30.1,35.4,29.4,54.1,46.7,34,27.8,63.9,9.3,2,1.2,Kentucky,33,22,127.1,101,0.9336,56.2,50.7,15.2,20,33.7,32.2,46.8,35.3,56.7,51.1,37,33.4,68.2,3.1,3,-0.9
Higher,1,4,Houston,34,30,124.8,88.2,0.9819,52.7,44.9,14.6,21.7,36.1,29.3,28.2,34.1,49,43.9,39.8,30.9,61.5,11.5,1,4.5,Purdue,33,22,125.1,100.3,0.9275,56.3,52,15.6,17.8,31,29.9,34.6,31,55.5,56.4,38.5,30.7,65.2,4.3,4,1.5
